metric,value,unit,meaning
target_goal_to_bird_xy_first_m,2.7669070283689488,m,First target-inspection nav goal to bird XY distance
target_goal_to_bird_xy_mean_m,2.5492081962120343,m,Mean target-inspection goal to bird XY distance
target_goal_to_lidar_target_xy_mean_m,2.0,m,Mean target-inspection goal to LiDAR target XY distance
target_goal_standoff_error_to_bird_mean_abs_m,0.5492081962120342,m,Mean absolute target-goal standoff error to bird
target_goal_standoff_error_to_lidar_target_mean_abs_m,2.590520390792032e-16,m,Mean absolute target-goal standoff error to LiDAR target
robot_to_bird_xy_min_m,2.7806309940768474,m,Minimum Waver to bird XY distance
lidar_target_to_bird_xy_mean_m,1.3581642136265573,m,Mean LiDAR target to bird GT XY distance
bird_speed_xy_mean_mps,,m/s,Mean bird XY speed
