metric,value,unit,meaning
filter_runtime_wall_mean_ms,184.88550426478432,ms,Mean LiDAR filtering wall runtime
pc_stamp_to_filter_done_mean_ms,63.43434343434659,ms,PointCloud stamp to filter completion latency
lidar_target_ok_to_dynamic_lock_ms,1299.9999999999998,ms,LiDAR target to dynamic lock
dynamic_lock_to_object_mission_goal_ms,7100.000000000002,ms,Dynamic lock to object mission goal
object_mission_goal_to_active_target_nav_goal_ms,7899.999999999998,ms,Object mission goal to active target nav goal
lidar_target_ok_to_first_target_cmd_vel_ms,44600.0,ms,LiDAR target to first target command
active_target_nav_goal_to_odom_motion_ms,4000.0,ms,Active target nav goal to odom motion
