time_sec,mission_state,linear_x,angular_z,nonzero_cmd,time_since_first_lidar_target_ok_ms,time_since_active_nav_goal_ms
1.9000000000000001,UNKNOWN,0.0,0.0,false,,
1.9000000000000001,IDLE mode=AUTO nav_goal=NONE,0.0,0.0,false,,
2.0,IDLE mode=AUTO nav_goal=NONE,0.0,0.0,false,,
2.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.0,0.0,false,,
2.1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.0,0.0,false,,
2.1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.0,0.0,false,,
2.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.08,4.8762809261937436e-05,true,,
2.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.08749999999999998,4.8762809261937436e-05,true,,
2.3000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.10499999999999998,4.8762809261937436e-05,true,200.00000000000017,
2.3000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.1575,7.454792461309978e-05,true,200.00000000000017,
2.4000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.1575,7.454792461309978e-05,true,300.0000000000003,
2.4000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.1575,7.454792461309978e-05,true,300.0000000000003,
2.5,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.21000000000000002,6.851439015491678e-05,true,399.9999999999999,
2.5,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.21000000000000002,6.851439015491678e-05,true,399.9999999999999,
2.6,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,9.175993447740893e-05,true,500.0,
2.6,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,9.175993447740893e-05,true,500.0,
2.7,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,7.567747865593333e-05,true,600.0000000000001,
2.7,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,7.567747865593333e-05,true,600.0000000000001,
2.8000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,8.655934811692134e-05,true,700.0000000000002,
2.8000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,5.440622145336249e-05,true,700.0000000000002,
2.9000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,5.440622145336249e-05,true,800.0000000000002,
2.9000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,5.440622145336249e-05,true,800.0000000000002,
3.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,5.440622145336249e-05,true,899.9999999999999,
3.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,5.440622145336249e-05,true,899.9999999999999,0.0
3.1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,0.00011781724703041618,true,1000.0,100.00000000000009
3.1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,0.00011781724703041618,true,1000.0,100.00000000000009
3.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,0.00011781724703041618,true,1100.0,200.00000000000017
3.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,0.00011781724703041618,true,1100.0,200.00000000000017
3.3000000000000003,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.23999999463558197,0.12011781724703041,true,1200.0000000000002,300.0000000000003
3.3000000000000003,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.23999999463558197,0.2401178172470304,true,1200.0000000000002,300.0000000000003
3.4000000000000004,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.1924999999999999,0.3499999940395355,true,1300.0000000000002,400.00000000000034
