time_sec,mission_state,waver_x_m,waver_y_m,waver_z_m,waver_yaw_rad,bird_name,bird_state,bird_active,bird_hidden,bird_fleeing,bird_x_m,bird_y_m,bird_z_m,bird_speed_xy_mps,bird_speed_3d_mps,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m,lidar_target_valid,lidar_target_age_sec,lidar_track_id,object_goal_x_m,object_goal_y_m,active_nav_goal_x_m,active_nav_goal_y_m,active_goal_role,robot_to_bird_xy_m,robot_to_bird_3d_m,robot_to_lidar_target_xy_m,lidar_target_to_bird_xy_m,object_goal_to_bird_xy_m,active_goal_to_bird_xy_m,object_goal_to_lidar_target_xy_m,active_goal_to_lidar_target_xy_m,robot_to_active_goal_xy_m,configured_offset_m,active_goal_standoff_error_to_bird_m,active_goal_standoff_error_to_lidar_target_m,detector_mode,lidar_provenance,dynamic_lock,cmd_vel_nonzero
1.9000000000000001,UNKNOWN,-2.0934221606438917e-20,2.808691786585286e-24,0.148138,4.0601143545233094e-24,,,false,false,false,nan,nan,nan,0.0,0.0,nan,nan,nan,false,nan,-1,nan,nan,nan,nan,UNKNOWN,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,,,lidar,,false,false
2.0,IDLE mode=AUTO nav_goal=NONE,-2.493094562382343e-19,1.761188619473493e-23,0.08002800000000003,1.4403693186252289e-24,nearest,,false,false,false,4.0,4.0,3.202112,0.0,0.0,nan,nan,nan,false,nan,-1,nan,nan,4.0,0.0,UNKNOWN,5.656854249492381,6.461223452493808,nan,nan,nan,4.0,nan,nan,4.0,2.0,2.0,,lidar,,false,false
3.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23479560947622485,8.959931063133565e-06,0.0012142362034608853,-0.00010056070577417178,nearest,,false,false,false,4.0,4.0,3.39541091969135,0.0,0.0,3.472587932675748,3.4717280808615794,3.3732670176384474,true,0.0,1.0,2.1024946651526393,2.0147296463092794,4.0,0.0,UNKNOWN,5.493331632356751,6.457341833080504,4.747223692096711,0.7464815532278285,2.746238313223649,4.0,2.0000000000000004,3.511560814823241,3.765204390534436,2.0,2.0,1.5115608148232411,lidar,lidar,true,true
4.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.5042386309220677,0.002818506106767937,0.0011693660305852854,0.1190984156831887,nearest,,false,false,false,4.0,4.0,3.4,0.0,0.0,3.5015193798240034,3.4784692472182197,3.4389189842313628,true,0.0,1.0,2.1024946651526393,2.0147296463092794,2.1024946651526393,2.0147296463092794,TARGET_INSPECTION,5.310160773899426,6.304748775571401,4.589535920104203,0.7214410958548013,2.746238313223649,2.746238313223649,2.0247972173850783,2.0247972173850783,2.569476364364032,2.0,0.7462383132236492,0.02479721738507834,lidar,lidar,true,true
5.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.5820679574978908,0.024976923060868787,0.001199484764626344,0.28098471887333554,nearest,,false,false,false,4.0,4.0,3.4,0.0,0.0,3.5865726636768036,3.4825807071071315,3.4578662439052197,true,0.0,1.0,2.1024946651526393,2.0147296463092794,2.1024946651526393,2.0147296463092794,TARGET_INSPECTION,5.242429580772762,6.2477926383424025,4.580619221994148,0.6623027155893666,2.746238313223649,2.746238313223649,2.0873605923243996,2.0873605923243996,2.504159194824547,2.0,0.7462383132236492,0.08736059232439963,lidar,lidar,true,true
6.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.9279325513901929,0.17818992592105526,0.0012310764126328348,0.5611631579715955,nearest,,false,false,false,4.0,4.0,3.4,0.0,0.0,3.658353716214235,3.534014920232043,3.4343583932808066,true,0.0,1.0,2.1024946651526393,2.0147296463092794,2.1024946651526393,2.0147296463092794,TARGET_INSPECTION,4.903450892090109,5.9661931620659505,4.326287222291352,0.5778098976228884,2.746238313223649,2.746238313223649,2.174609190252091,2.174609190252091,2.1800170420548923,2.0,0.7462383132236492,0.1746091902520912,lidar,lidar,true,true
7.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.2245444775760557,0.41967079536940693,0.0012041003908490218,0.8129911915324985,nearest,,false,false,false,4.0,4.0,3.4,0.0,0.0,3.5162565762676348,3.8017910472946985,3.470579251108863,true,0.0,1.0,2.1024946651526393,2.0147296463092794,2.1024946651526393,2.0147296463092794,TARGET_INSPECTION,4.530111540622847,5.663366855297675,4.085423079899138,0.5227757539680308,2.746238313223649,2.746238313223649,2.2786643439110317,2.2786643439110317,1.8207166912585233,2.0,0.7462383132236492,0.2786643439110317,lidar,lidar,true,true
8.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.4629606141760088,0.7181647043161005,0.0012110451082263118,0.9608759436680187,nearest,,false,false,false,4.0,4.0,3.4,0.0,0.0,3.5162565762676348,3.8017910472946985,3.470579251108863,true,0.0,1.0,2.1024946651526393,2.0147296463092794,2.1024946651526393,2.0147296463092794,TARGET_INSPECTION,4.148133526445214,5.362721148177772,3.7046964424974607,0.5227757539680308,2.746238313223649,2.746238313223649,2.2786643439110317,2.2786643439110317,1.445712437230985,2.0,0.7462383132236492,0.2786643439110317,lidar,lidar,true,true
9.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.6672630018813965,1.0431523089364303,0.0011777583407796065,1.0456173826246018,nearest,,false,false,false,4.0,4.0,3.4,0.0,0.0,4.056483178785595,3.5709873909488845,3.469410725972844,true,0.0,1.0,2.1024946651526393,2.0147296463092794,2.1024946651526393,2.0147296463092794,TARGET_INSPECTION,3.7662461643577356,5.073125545552442,3.4782644027703014,0.43271488096733024,2.746238313223649,2.746238313223649,2.4980010566771744,2.4980010566771744,1.0646074972544424,2.0,0.7462383132236492,0.4980010566771744,lidar,lidar,true,true
10.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.8461365968177863,1.3824313456992514,0.0011708879004887923,1.1115730327976407,nearest,,false,false,false,4.0,4.0,3.4,0.0,0.0,4.126507396268685,3.4708068985038576,3.464833361829319,true,0.0,1.0,2.1024946651526393,2.0147296463092794,2.1024946651526393,2.0147296463092794,TARGET_INSPECTION,3.3898072540404858,4.800295048515315,3.092151909680421,0.5441042730780457,2.746238313223649,2.746238313223649,2.4933488524629572,2.4933488524629572,0.6822907006215947,2.0,0.7462383132236492,0.49334885246295723,lidar,lidar,true,true
