time_sec,bird_name,released,active,hidden,state,removed,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,speed_xy_mps,speed_3d_mps,target_x_m,target_y_m,target_z_m,nearest,fleeing,inside_lidar_area
3.9000000000000004,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.20498384315164656,0.0,0.20498384315164656,4.0,4.0,3.25,true,false,true
3.9000000000000004,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.0,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.206785781973449,0.0,0.206785781973449,4.0,4.0,3.25,true,false,true
4.0,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.1000000000000005,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.2083714881366351,0.0,0.2083714881366351,4.0,4.0,3.25,true,false,true
4.1000000000000005,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.2,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.2097669095602389,0.0,0.2097669095602389,4.0,4.0,3.25,true,false,true
4.2,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.300000000000001,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21099488041301026,0.0,0.21099488041301026,4.0,4.0,3.25,true,false,true
4.300000000000001,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.4,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21207549476344903,0.0,0.21207549476344903,4.0,4.0,3.25,true,false,true
4.4,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.5,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21302643539183516,0.0,0.21302643539183516,4.0,4.0,3.25,true,false,true
4.5,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.6000000000000005,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21386326314481496,0.0,0.21386326314481496,4.0,4.0,3.25,true,false,true
4.6000000000000005,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.7,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21459967156743717,0.0,0.21459967156743717,4.0,4.0,3.25,true,false,true
4.7,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.800000000000001,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21524771097934473,0.0,0.21524771097934473,4.0,4.0,3.25,true,false,true
4.800000000000001,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
4.9,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21581798566182336,0.0,0.21581798566182336,4.0,4.0,3.25,true,false,true
4.9,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
5.0,bird_1,true,false,false,,false,4.0,4.0,3.4,0.0,0.0,0.21631982738240457,0.0,0.21631982738240457,4.0,4.0,3.25,true,false,true
5.0,bird_2,false,false,false,,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
