time_sec,image_id,valid,reason,camera_frame,gt_frame,points_projected,bbox_x,bbox_y,bbox_w,bbox_h
1.7000000000000002,5,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,963.0509368070144,122.77150944039845,0.0,227.46990893329183
1.8,10,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,959.8103807591556,123.4437667742786,0.0,226.22237892973763
2.0,15,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,949.2513965339388,124.86337218369762,0.0,223.00526198772502
2.2,20,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,935.8652626849355,126.42881712098325,0.0,219.10185434432077
2.3000000000000003,25,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,926.0041253017755,127.48018153879191,0.0,216.91071460000006
2.5,30,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,912.1532556434365,129.98746886328993,0.0,212.4215060192715
2.7,35,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,906.026717330416,130.75372790272962,0.0,212.02528914607427
2.8000000000000003,40,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,901.304154982019,131.14898465449244,0.0,212.03026051587716
3.0,45,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,896.2745111475318,132.15986026002605,0.0,212.0343244867724
3.2,50,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,891.5242830716344,133.36271948946012,0.0,212.02406730145788
3.3000000000000003,55,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,886.8087766755175,133.92925181297142,0.0,212.03574052063493
3.5,60,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,882.3559635378667,134.50071152966206,0.0,212.02596401866833
3.7,65,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,877.0485426625163,134.48260077251496,0.0,212.03398303243046
3.8000000000000003,70,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,871.7311811171147,134.29175110046464,0.0,212.03431840507488
4.0,75,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,866.9880527578165,133.6476254528249,0.0,212.03032228975354
4.2,80,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,861.9564978744785,132.68865301940954,0.0,212.02664552181093
4.300000000000001,85,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,856.923947650608,132.1424309474703,0.0,212.02959723754248
4.5,90,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,852.2110327698045,130.86276408351233,0.0,212.0400884364662
4.7,95,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,847.1843508752321,129.43885305342587,0.0,212.04293129460427
4.9,100,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,841.854936210977,128.67837978449825,0.0,212.03811399378964
5.0,105,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,837.1308728488858,127.19657749008041,0.0,212.04233449688644
5.1000000000000005,110,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,832.991974612801,126.69472922926765,0.0,212.04109078071008
5.1000000000000005,115,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,832.991974612801,126.69472922926765,0.0,212.04109078071008
5.300000000000001,120,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,829.4243360551773,126.25215315662905,0.0,212.0316936424344
5.4,125,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,824.4020796748694,126.24422548588173,0.0,212.03426323277415
5.6000000000000005,130,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,819.0856201426623,126.58222420047578,0.0,212.0370188918161
5.800000000000001,135,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,814.6587250359098,127.29714116808563,0.0,212.0419896970129
6.0,140,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,809.024272635173,127.76838939399127,0.0,212.0316227303853
6.1000000000000005,145,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,807.5660956519263,128.95133376717382,0.0,212.06222430315228
6.300000000000001,150,false,BBOX_TOO_SMALL,pt_camera_link,odom,8,807.5648614237368,130.25294321560068,0.0,212.05989820018834
