metric,value,unit,meaning
object_goal_to_bird_xy_first_m,2.762526447512902,m,First offset goal to bird XY distance
active_goal_to_bird_xy_first_m,2.762526447512902,m,First active nav goal to bird XY distance
standoff_error_mean_abs_m,5.23159046832954,m,Mean absolute standoff error
robot_to_bird_xy_min_m,2.7535050273855295,m,Minimum Waver to bird XY distance
lidar_target_to_bird_xy_mean_m,3.016870520595611,m,Mean LiDAR target to bird GT XY distance
bird_speed_xy_mean_mps,0.031749918903255236,m/s,Mean bird XY speed
