time_sec,bird_name,released,removed,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,speed_xy_mps,speed_3d_mps,target_x_m,target_y_m,target_z_m,nearest,fleeing,inside_lidar_area
2.6,bird_1,true,false,4.0,4.0,3.4,0.0,0.0,0.1725523457192302,0.0,0.1725523457192302,4.0,4.0,3.25,true,false,true
2.6,bird_2,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
2.6,bird_3,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,3.25,false,false,false
2.6,bird_4,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,3.25,false,false,false
2.7,bird_1,true,false,4.0,4.0,3.4,0.0,0.0,0.17824606423292258,0.0,0.17824606423292258,4.0,4.0,3.25,true,false,true
2.7,bird_2,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
2.7,bird_3,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,3.25,false,false,false
2.7,bird_4,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,3.25,false,false,false
2.8000000000000003,bird_1,true,false,4.0,4.0,3.4,0.0,0.0,0.18325653652497187,0.0,0.18325653652497187,4.0,4.0,3.25,true,false,true
2.8000000000000003,bird_2,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
2.8000000000000003,bird_3,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,3.25,false,false,false
2.8000000000000003,bird_4,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,3.25,false,false,false
2.9000000000000004,bird_1,true,false,4.0,4.0,3.4,0.0,0.0,0.18766575214197526,0.0,0.18766575214197526,4.0,4.0,3.25,true,false,true
2.9000000000000004,bird_2,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,3.25,false,false,false
2.9000000000000004,bird_3,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,3.25,false,false,false
2.9000000000000004,bird_4,false,false,50.0,50.0,3.2,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,3.25,false,false,false
3.0,bird_1,true,false,4.0,4.0,3.4,0.0,0.0,0.19154586188493825,0.0,0.19154586188493825,4.0,4.0,3.25,true,false,true
