time_sec,event_type,mission_state,bird_name,bird_x_m,bird_y_m,bird_z_m,bird_speed_xy_mps,bird_speed_3d_mps,goal_frame,goal_x_m,goal_y_m,goal_z_m,goal_yaw_rad,waver_x_m,waver_y_m,waver_yaw_rad,goal_to_bird_xy_m,goal_to_bird_3d_m,robot_to_goal_xy_m,robot_to_bird_xy_m,configured_offset_m,standoff_error_m,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m,lidar_target_to_bird_xy_m
1.5,active_nav_goal,UNKNOWN,,nan,nan,nan,0.0,0.0,odom,4.0,0.0,0.0,0.0,-2.0934221606438917e-20,2.808691786585286e-24,4.0601143545233094e-24,nan,nan,4.0,nan,2.0,,nan,nan,nan,nan
2.0,object_mission_goal,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,bird_1,4.0,4.0,3.2687241831980973,0.0,0.11783110090752,odom,2.0531074829135396,2.040111763359706,0.0,0.7968678244254992,0.059268877355463725,3.121258862698866e-06,-6.158613326052274e-05,2.762526447512902,4.2797324868538595,2.8526190871878288,5.615099002770842,2.0,0.7625264475129021,3.4510078296602504,3.470452499186462,3.3517097312064594,0.7627666476139429
2.2,active_nav_goal,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,bird_1,4.0,4.0,3.2905611094900213,0.0,0.1300913687986176,odom,2.0531074829135396,2.040111763359706,0.0,0.7968678244254992,0.10529561864300586,1.226332660800136e-05,-3.519345543727663e-05,2.762526447512902,4.296433961845155,2.8206341536307664,5.582886718508525,2.0,0.7625264475129021,3.4510078296602504,3.470452499186462,3.3517097312064594,0.7627666476139429
10.0,object_mission_goal,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,bird_1,4.0,4.0,3.4,0.0,0.2199963022930826,odom,2.6336582764103103,2.336451446785882,0.0,0.5952086190855967,1.9039624641972002,1.8423555989436682,0.931664550011877,2.1527386033893734,4.024212158239527,0.8812415589475263,3.008122788867504,2.0,0.1527386033893734,4.289721372400907,3.4578144665515778,3.3855227534835737,0.614738665049316
16.6,active_nav_goal,SOUND_TASK_DONE mode=AUTO nav_goal=NONE,bird_1,9.039018982063526,9.148784193850958,3.2991009170535253,1.4999362034314545,1.4999999999999998,odom,4.0,0.0,0.0,0.0,1.9445228183785124,1.8984594830359267,0.8869379843460089,10.444709882388004,10.953357083020578,2.798059122480376,10.143918583505904,2.0,8.444709882388004,3.5567916555796453,4.256489204399965,3.279262477613548,7.3477456898734514
18.0,object_mission_goal,RETURN_TO_INTERRUPTED_WAYPOINT mode=AUTO nav_goal=RETURN_TO_INTERRUPTED_WAYPOINT,bird_2,4.0,-4.0,3.2999207445299126,0.0,0.103898978304,odom,3.1735353871983634,-1.6177280487568941,0.0,-1.2356451232186425,1.9485499835760838,1.8994074197481638,0.6054347017658109,2.521559716900037,4.153039889776144,3.7243564736614476,6.245915070993631,2.0,0.521559716900037,3.8313593158611243,-3.506449224282464,3.394669063884317,0.5215669166638252
30.200000000000003,active_nav_goal,RESUME_PATROL mode=AUTO nav_goal=NONE,bird_2,4.0,-4.0,3.4,0.0,0.21999995209913695,odom,4.0,0.0,0.0,0.0,3.8943732166112977,0.12518663618238415,-0.40423218393977006,4.0,5.2497618993626745,0.1637947228933352,4.126538719157592,2.0,2.0,4.050483506185293,-3.459182196738648,3.577180024097827,0.5431689246645054
31.000000000000004,active_nav_goal,PATROL_DWELL mode=AUTO nav_goal=NONE,bird_2,4.0,-4.0,3.4,0.0,0.21999997775464347,odom,4.0,4.0,0.0,1.5707963267948963,3.8945678066794307,0.12446986504967858,-0.3492016598731935,8.0,8.692525524840292,3.876963989295805,4.1258172057292235,2.0,6.0,4.044783149772189,-3.4577541791438273,3.5674791564441395,0.544091959818837
43.400000000000006,object_mission_goal,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,bird_2,4.0,-4.0,3.4,0.0,0.2199999999999963,odom,4.001672234061573,-1.4147716042158338,0.0,-1.5745077038767517,4.020063279805922,3.5405215113240738,1.6145667045146814,2.585228936619643,4.271230344378014,4.955327243631925,7.540548202746115,2.0,0.585228936619643,3.994249496938416,-3.4147578299118004,3.5596367692420303,0.5852704212028884
43.6,active_nav_goal,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,bird_2,4.0,-4.0,3.4,0.0,0.21999999999999675,odom,4.001672234061573,-1.4147716042158338,0.0,-1.5745077038767517,4.017875687597495,3.590359085320472,1.6144958899371202,2.585228936619643,4.271230344378014,5.005156917744404,7.590380134374965,2.0,0.585228936619643,3.994249496938416,-3.4147578299118004,3.5596367692420303,0.5852704212028884
51.400000000000006,object_mission_goal,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,bird_2,4.0,-4.0,3.4,0.0,0.21999999999999997,odom,4.065261923266795,-1.4372729790811074,0.0,-1.560418912785348,4.011842768507611,3.736199773938791,-2.891859920250913,2.5635578601576956,4.25814852986322,5.173748537794862,7.736208838536905,2.0,0.5635578601576956,4.08601637877083,-3.4371652893260185,3.5425737004828908,0.5693695890687448
72.4,active_nav_goal,SOUND_TASK_DONE mode=AUTO nav_goal=NONE,bird_2,4.0218007693967905,-11.494144130602436,3.2965246939875965,1.4999425882538509,1.5,odom,4.0,4.0,0.0,1.5707963267948963,3.9919835740162606,-1.2463624944489056,-1.508109864310299,15.494159467793928,15.840961229404554,5.246368618982628,10.247825014481164,2.0,13.494159467793928,4.168873164298484,-3.463556543521703,3.5447453075386464,8.031934218052166
