time_sec,mission_state,waver_x_m,waver_y_m,waver_z_m,waver_yaw_rad,bird_name,bird_x_m,bird_y_m,bird_z_m,bird_speed_xy_mps,bird_speed_3d_mps,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m,object_goal_x_m,object_goal_y_m,active_nav_goal_x_m,active_nav_goal_y_m,robot_to_bird_xy_m,robot_to_bird_3d_m,robot_to_lidar_target_xy_m,lidar_target_to_bird_xy_m,object_goal_to_bird_xy_m,active_goal_to_bird_xy_m,robot_to_active_goal_xy_m,configured_offset_m,active_goal_standoff_error_m,detector_mode,lidar_provenance,dynamic_lock,cmd_vel_nonzero
1.5,UNKNOWN,-2.0934221606438917e-20,2.808691786585286e-24,0.148138,4.0601143545233094e-24,,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,,lidar,,false,false
2.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.030230190733356005,2.0030592280309225e-06,0.0012058410869517497,-8.234711181846588e-05,bird_1,4.0,4.0,3.2493233932083134,0.0,0.103898978304,3.4457136808965583,3.4805622585998237,3.353781955950753,nan,nan,4.0,0.0,5.635517395421215,6.504561779743043,4.876456414654624,0.7596373415888392,nan,4.0,3.969769809267149,2.0,2.0,lidar,lidar,false,true
3.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.23333356664007418,0.0005418488748611163,0.0013161034339437114,0.12333941634885558,bird_1,4.0,4.0,3.4,0.0,0.18766575214197526,3.4517066640305107,3.480911910264607,3.442898733035774,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,5.493945897331143,6.460223970697853,4.740348210651257,0.7550351165169011,2.762526447512902,2.762526447512902,2.7333903018817094,2.0,0.7625264475129021,lidar,lidar,true,true
4.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.42782759617092275,0.09562412965710687,0.0012021716464059818,0.5450893917898476,bird_1,4.0,4.0,3.4,0.0,0.21099488041301026,3.492659594603121,3.5580111864173736,3.476756382500453,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,5.291934109528749,6.2893873547122965,4.623993869960786,0.672865810010025,2.762526447512902,2.762526447512902,2.534278372214155,2.0,0.7625264475129021,lidar,lidar,true,true
5.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.7223604013542035,0.3351706320266146,0.0011951134570286697,0.7841040427249647,bird_1,4.0,4.0,3.4,0.0,0.21749206540594204,3.43880719478902,3.9925907560404017,3.4603095155273635,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,4.916695601211365,5.977103838127589,4.555853942468231,0.5612417139848227,2.762526447512902,2.762526447512902,2.162801899479019,2.0,0.7625264475129021,lidar,lidar,true,true
6.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.9758252191720388,0.6211017555664782,0.001189023332602395,0.8859185860656604,bird_1,4.0,4.0,3.4,0.0,0.21930153776778719,3.43880719478902,3.9925907560404017,3.4603095155273635,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,4.5345988192156295,5.666965899522122,4.175310562405003,0.5612417139848227,2.762526447512902,2.762526447512902,1.7816078350718347,2.0,0.7625264475129021,lidar,lidar,true,true
7.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.2126720219123237,0.922649714715,0.001192963483806442,0.9144923337086223,bird_1,4.0,4.0,3.4,0.0,0.21980547758662308,3.736326547894973,3.820842075187729,3.4909646456928654,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,4.152021439705485,5.365740518068871,3.8429612442510006,0.3187808830027632,2.762526447512902,2.762526447512902,1.3982321675135179,2.0,0.7625264475129021,lidar,lidar,true,true
8.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.4444759519488488,1.2284053324558069,0.0011895921053089698,0.9252176819771237,bird_1,4.0,4.0,3.4,0.0,0.21994582531801887,4.236202438770334,3.490831157096201,3.5433398241968272,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,3.769939012945322,5.075859764625144,3.5933699210101375,0.5612882527410021,2.762526447512902,2.762526447512902,1.0145440702380404,2.0,0.7625264475129021,lidar,lidar,true,true
9.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.6745865500635513,1.5355129577855227,0.0011902259573433438,0.9270941518975105,bird_1,4.0,4.0,3.4,0.0,0.21998491229819328,4.280799150967489,3.4493666913685455,3.5197109869000753,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,3.38839845567023,4.799286610999211,3.233447113323511,0.618098053514558,2.762526447512902,2.762526447512902,0.6307916067866772,2.0,0.7625264475129021,lidar,lidar,true,true
10.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,1.9001637408085672,1.8372415050452005,0.0011922801262643648,0.9316055420481877,bird_1,4.0,4.0,3.4,0.0,0.21999579806032113,4.283428159032676,3.4520436704628876,3.425230566221104,2.0531074829135396,2.040111763359706,2.0531074829135396,2.040111763359706,3.014438027711669,4.5429869622955685,2.878807968693075,0.6169178716915537,2.762526447512902,2.762526447512902,0.2540632400755107,2.0,0.7625264475129021,lidar,lidar,true,true
11.0,CAMERA_ALIGN_TO_TARGET mode=AUTO nav_goal=NONE,1.9450378613838692,1.8983031665879806,0.0011952718742334453,0.8451297429103865,bird_1,4.0,4.0,3.4,0.0,0.21999882975569837,4.306868723728952,3.456218488604395,3.306471758518428,2.6336582764103103,2.336451446785882,2.0531074829135396,2.040111763359706,2.9393875162557066,4.493536753009811,2.8293718689665424,0.6243931019307664,2.1527386033893734,2.762526447512902,0.17829391805648345,2.0,0.7625264475129021,lidar,lidar,true,true
12.0,CAMERA_ALIGN_TO_TARGET mode=AUTO nav_goal=NONE,1.9453866444125818,1.9004080668666623,0.0011744840054082435,0.6836533184552923,bird_1,4.0,4.0,3.4,0.0,0.21999967408581989,4.083823208491178,3.7223298149945103,3.28683026909205,2.6336582764103103,2.336451446785882,2.0531074829135396,2.040111763359706,2.9376389033774686,4.492408843239079,2.8093255053285486,0.2900466547346105,2.1527386033893734,2.762526447512902,0.17641117272205278,2.0,0.7625264475129021,lidar,lidar,true,false
13.0,SOUND_TASK_RUNNING mode=AUTO nav_goal=NONE,1.944741051949579,1.899582904488808,0.0011956168310520048,0.7395837900200077,bird_1,4.0,4.0,3.4,0.0,0.21999990923258278,3.6068513794370762,4.181160814463226,3.2808796106758,2.6336582764103103,2.336451446785882,2.0531074829135396,2.040111763359706,2.9386802001335557,4.493073842449671,2.822801533941738,0.4328799816895085,2.1527386033893734,2.762526447512902,0.1774588502595001,2.0,0.7625264475129021,lidar,lidar,true,true
14.0,SOUND_TASK_RUNNING mode=AUTO nav_goal=NONE,1.9438625333350539,1.89863912692547,0.001163913091986941,0.8676438513925776,bird_1,4.369379330856622,4.3774255399750714,3.4,1.232240625,1.2322599823398328,3.5567916555796453,4.256489204399965,3.279262477613548,2.6336582764103103,2.336451446785882,2.0531074829135396,2.040111763359706,3.468070618741578,4.855883087786069,2.856745935716228,0.8215377820127175,2.679235493180405,3.2906155904222,0.17874273654629835,2.0,1.2906155904221999,lidar,lidar,true,true
15.000000000000002,SOUND_TASK_DONE mode=AUTO nav_goal=NONE,1.9444939295926766,1.898422048018668,0.0011794249209612345,0.8869198919196155,bird_1,6.118191108904415,6.164331775669876,3.3573311861036808,1.496395224256257,1.4966802505808008,3.5567916555796453,4.256489204399965,3.279262477613548,2.6336582764103103,2.336451446785882,2.0531074829135396,2.040111763359706,5.968059479350382,6.847005812262307,2.8565686883439234,3.193842581631445,5.176353627118845,5.790863113236128,0.17852977174244178,2.0,3.790863113236128,lidar,lidar,true,false
16.0,SOUND_TASK_DONE mode=AUTO nav_goal=NONE,1.9445108602735657,1.89844552765322,0.0011801552777346467,0.8869329562561368,bird_1,7.95214042637603,8.038230106224175,3.3157898760598483,1.4998853086758819,1.5000000000000002,3.5567916555796453,4.256489204399965,3.279262477613548,2.6336582764103103,2.336451446785882,2.0531074829135396,2.040111763359706,8.590027222003792,9.207345180662529,2.8565397501799463,5.798332093410266,7.7972131085875755,8.4128481100673,0.1785008369393673,2.0,6.4128481100673,lidar,lidar,false,false
17.0,RETURN_TO_INTERRUPTED_WAYPOINT mode=AUTO nav_goal=RETURN_TO_INTERRUPTED_WAYPOINT,1.9444749693652454,1.898639628544987,0.0011973836154025013,0.8687684750387256,bird_1,9.774462236236202,9.90024764656595,3.2902767034978853,1.4999569344243247,1.4999999999999998,3.5567916555796453,4.256489204399965,3.279262477613548,2.6336582764103103,2.336451446785882,4.0,0.0,11.195286127358187,11.668439237785716,2.8563997827693663,8.397108835967405,10.40202356008063,11.461209254745008,2.7982165017466847,2.0,9.461209254745008,lidar,lidar,false,true
