time_sec,trial_id,goal_x,goal_y,goal_yaw,robot_x,robot_y,robot_yaw,target_error_m,nav_state,nav_success
1.9000000000000001,1,nan,nan,nan,1.3969267968650826e-19,3.8163251738441098e-25,-3.887871057083844e-24,nan,IDLE_NO_GOAL,False
1.9000000000000001,1,nan,nan,nan,1.3969267968650826e-19,3.8163251738441098e-25,-3.887871057083844e-24,nan,IDLE_NO_GOAL,False
1.9000000000000001,1,4.0,0.0,0.0,1.3969267968650826e-19,3.8163251738441098e-25,-3.887871057083844e-24,4.0,GOAL_RECEIVED frame=odom x=4.000 y=0.000,False
2.0,1,4.0,0.0,0.0,-2.225241114925336e-19,1.5677490144636132e-23,6.224933615469759e-24,4.0,TRACKING distance=4.000 heading_error=0.000 linear=0.035 angular=0.000 ,False
2.0,1,4.0,0.0,0.0,-2.225241114925336e-19,1.5677490144636132e-23,6.224933615469759e-24,4.0,TRACKING distance=4.000 heading_error=0.000 linear=0.052 angular=0.000 ,False
2.1,1,4.0,0.0,0.0,1.2328211728493797e-05,3.241906906896924e-06,-5.013840889863002e-05,3.9999876717895853,TRACKING distance=4.000 heading_error=0.000 linear=0.087 angular=0.000 ,False
2.1,1,4.0,0.0,0.0,1.2328211728493797e-05,3.241906906896924e-06,-5.013840889863002e-05,3.9999876717895853,TRACKING distance=4.000 heading_error=0.000 linear=0.105 angular=0.000 ,False
2.2,1,4.0,0.0,0.0,1.4481766794768801e-05,3.6974445437183202e-06,-6.315218763107117e-05,3.999985518234914,TRACKING distance=4.000 heading_error=0.000 linear=0.140 angular=0.000 ,False
2.2,1,4.0,0.0,0.0,1.4481766794768801e-05,3.6974445437183202e-06,-6.315218763107117e-05,3.999985518234914,TRACKING distance=4.000 heading_error=0.000 linear=0.158 angular=0.000 ,False
2.3000000000000003,1,4.0,0.0,0.0,0.007139116905942613,4.314014384134216e-06,-6.407864398553756e-05,3.992860883096388,TRACKING distance=3.993 heading_error=0.000 linear=0.193 angular=0.000 ,False
2.3000000000000003,1,4.0,0.0,0.0,0.007139116905942613,4.314014384134216e-06,-6.407864398553756e-05,3.992860883096388,TRACKING distance=3.993 heading_error=0.000 linear=0.210 angular=0.000 ,False
2.3000000000000003,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.020476980985541217,3.736352242384079e-06,-6.680658477441399e-05,2.8755156149384273,OBJECT_GOAL_PUBLISHED,
2.4000000000000004,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.023835007950656916,2.170720605503155e-06,-7.031178860130555e-05,2.8731572007598305,TRACKING distance=3.976 heading_error=0.000 linear=0.245 angular=0.000 ,False
2.4000000000000004,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.023835007950656916,2.170720605503155e-06,-7.031178860130555e-05,2.8731572007598305,TRACKING distance=3.976 heading_error=0.000 linear=0.263 angular=0.000 ,False
2.4000000000000004,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.023835007950656916,2.170720605503155e-06,-7.031178860130555e-05,2.8731572007598305,GOAL_RECEIVED frame=odom x=2.042 y=2.045,False
2.5,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.04701385231708137,1.944030433844292e-06,-7.934846608053563e-05,2.8569251797790023,TRACKING distance=2.857 heading_error=0.798 linear=0.228 angular=0.120 ,False
2.5,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.04701385231708137,1.944030433844292e-06,-7.934846608053563e-05,2.8569251797790023,TRACKING distance=2.857 heading_error=0.798 linear=0.210 angular=0.180 ,False
2.6,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.08372637768429085,5.959663393107342e-07,-5.768695974040391e-05,2.831414178213866,TRACKING distance=2.831 heading_error=0.807 linear=0.175 angular=0.300 ,False
2.6,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.08372637768429085,5.959663393107342e-07,-5.768695974040391e-05,2.831414178213866,TRACKING distance=2.831 heading_error=0.807 linear=0.158 angular=0.360 ,False
2.7,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.12208189938378432,9.36481002479867e-06,-8.380874033603783e-05,2.805019485679421,TRACKING distance=2.805 heading_error=0.817 linear=0.123 angular=0.480 ,False
2.7,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.12208189938378432,9.36481002479867e-06,-8.380874033603783e-05,2.805019485679421,TRACKING distance=2.805 heading_error=0.817 linear=0.105 angular=0.540 ,False
2.8000000000000003,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.1567251591235685,2.3044833107061892e-05,0.0016280663851567013,2.781414517390342,TRACKING distance=2.781 heading_error=0.824 linear=0.070 angular=0.550 ,False
2.8000000000000003,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.1567251591235685,2.3044833107061892e-05,0.0016280663851567013,2.781414517390342,TRACKING distance=2.781 heading_error=0.824 linear=0.053 angular=0.550 ,False
2.9000000000000004,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.183939674240274,7.0251284882497e-05,0.004578457048448091,2.7630075122306494,TRACKING distance=2.763 heading_error=0.829 linear=0.018 angular=0.550 ,False
2.9000000000000004,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.183939674240274,7.0251284882497e-05,0.004578457048448091,2.7630075122306494,TRACKING distance=2.763 heading_error=0.829 linear=0.000 angular=0.550 ,False
3.0,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.19590127252575043,0.00013982781579797228,0.0062887307583422425,2.7549269749083756,TRACKING distance=2.755 heading_error=0.830 linear=0.000 angular=0.550 ,False
3.0,1,2.041817484050463,2.045186520952184,0.7912611590468638,0.19590127252575043,0.00013982781579797228,0.0062887307583422425,2.7549269749083756,TRACKING distance=2.755 heading_error=0.830 linear=0.000 angular=0.550 ,False
