topic,count,duration_sec,hz,last_stamp
/bird/nearest_pose,605,62.50000000000001,9.68,63.9
/mid360_PointCloud2,243,61.7,3.938411669367909,63.8
/odom,6258,62.50000000000001,100.12799999999999,63.997
/pt_camera/camera_info,2007,62.50000000000001,32.111999999999995,63.964
/pt_camera/image_raw,1927,62.50000000000001,30.831999999999997,63.964
/waver/elevated_dynamic_targets,73,11.899999999999999,6.1344537815126055,19.0
/waver/lidar_tracking_state,1118,62.50000000000001,17.887999999999998,63.900000000000006
