time_sec,target_class,confidence,bird_confirmed,classifier_mode
1.5,unknown,0.0,false,fake_gazebo
1.5,unknown,0.0,false,fake_gazebo
1.5,unknown,0.0,false,fake_gazebo
1.5,unknown,0.0,false,fake_gazebo
1.5,unknown,0.0,false,fake_gazebo
1.5,unknown,0.0,false,fake_gazebo
1.6,unknown,0.0,false,fake_gazebo
1.6,unknown,0.0,false,fake_gazebo
1.6,unknown,0.0,false,fake_gazebo
1.7000000000000002,unknown,0.0,false,fake_gazebo
1.7000000000000002,unknown,0.0,false,fake_gazebo
1.7000000000000002,unknown,0.0,false,fake_gazebo
1.8,unknown,0.0,false,fake_gazebo
1.8,unknown,0.0,false,fake_gazebo
1.8,unknown,0.0,false,fake_gazebo
1.9000000000000001,unknown,0.0,false,fake_gazebo
1.9000000000000001,unknown,0.0,false,fake_gazebo
1.9000000000000001,unknown,0.0,false,fake_gazebo
2.0,unknown,0.0,false,fake_gazebo
2.0,unknown,0.0,false,fake_gazebo
2.0,unknown,0.0,false,fake_gazebo
2.1,unknown,0.0,false,fake_gazebo
2.1,unknown,0.0,false,fake_gazebo
2.1,unknown,0.0,false,fake_gazebo
2.2,unknown,0.0,false,fake_gazebo
2.2,unknown,0.0,false,fake_gazebo
2.2,unknown,0.0,false,fake_gazebo
2.3000000000000003,unknown,0.0,false,fake_gazebo
2.3000000000000003,unknown,0.0,false,fake_gazebo
2.3000000000000003,unknown,0.0,false,fake_gazebo
2.4000000000000004,bird,0.0,false,fake_gazebo
2.4000000000000004,bird,0.9200000166893005,false,fake_gazebo
2.4000000000000004,bird,0.9200000166893005,true,fake_gazebo
2.5,bird,0.9200000166893005,true,fake_gazebo
2.5,bird,0.9200000166893005,true,fake_gazebo
2.5,bird,0.9200000166893005,true,fake_gazebo
2.6,bird,0.9200000166893005,true,fake_gazebo
2.6,bird,0.9200000166893005,true,fake_gazebo
2.6,bird,0.9200000166893005,true,fake_gazebo
2.7,bird,0.9200000166893005,true,fake_gazebo
