time_sec,mission_state,linear_x,angular_z,nonzero_cmd,time_since_first_lidar_target_ok_ms,time_since_active_nav_goal_ms
1.9000000000000001,UNKNOWN,0.0,0.0,false,,
1.9000000000000001,UNKNOWN,0.0,0.0,false,,
2.0,IDLE mode=AUTO nav_goal=NONE,0.0,0.0,false,,
2.0,IDLE mode=AUTO nav_goal=NONE,0.0,0.0,false,,
2.1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.0,0.0,false,,
2.1,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.0,0.0,false,,
2.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.08,5.919351560859098e-05,true,,
2.2,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.10499999999999998,5.919351560859098e-05,true,,
2.3000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.10499999999999998,5.919351560859098e-05,true,200.00000000000017,
2.3000000000000003,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.10499999999999998,5.919351560859098e-05,true,200.00000000000017,
2.4000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.1575,7.467338777829013e-05,true,300.0000000000003,0.0
2.4000000000000004,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.2375,8.371902644306317e-05,true,300.0000000000003,0.0
2.5,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,8.371902644306317e-05,true,399.9999999999999,99.99999999999964
2.5,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,8.371902644306317e-05,true,399.9999999999999,99.99999999999964
2.6,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,0.23999999463558197,8.371902644306317e-05,true,500.0,199.99999999999974
2.6,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.23999999463558197,8.371902644306317e-05,true,500.0,199.99999999999974
2.7,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.21000000000000021,0.12008371902644306,true,600.0000000000001,299.99999999999983
2.7,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.21000000000000021,0.18008371902644263,true,600.0000000000001,299.99999999999983
2.8000000000000003,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,0.1575000000000002,0.3000837190264426,true,700.0000000000002,399.9999999999999
