metric,value
frames,194
valid_projected_frames,69
gt_rows,610
lidar_associated_rows,70
mission_events,427
bird_confirmed_rows,486
sound_done_rows,0
removed_bird_count,2
two_bird_removal_success,True
has_patrol,True
has_offset_approach,True
has_sound_task,False
