time_sec,lidar_count,gt_x,gt_y,gt_z,nearest_dist_m,associated,detector_mode,gt_used_for_decision
17.6,1,-0.9072731482737761,-0.17867081220229544,3.4,0.6919289303061756,true,lidar,false
17.6,1,-0.9072731482737761,-0.17867081220229544,3.4,0.6919289303061756,true,lidar,false
17.8,1,-0.9147180648682204,-0.18220891531089314,3.4,0.698766419538004,true,lidar,false
18.0,1,-0.9370347702876641,-0.19281466107781467,3.4,0.7194388482608866,true,lidar,false
18.0,1,-0.9370347702876641,-0.19281466107781467,3.4,0.6969028398003518,true,lidar,false
18.200000000000003,1,-0.9518004129138702,-0.1998318627006595,3.4,0.6727781037567253,true,lidar,false
18.200000000000003,1,-0.9518004129138702,-0.1998318627006595,3.4,0.6727781037567253,true,lidar,false
18.400000000000002,1,-0.9667533448805947,-0.20693807593579028,3.4,0.6646239960550949,true,lidar,false
18.400000000000002,1,-0.9667533448805947,-0.20693807593579028,3.4,0.6646239960550949,true,lidar,false
18.5,1,-0.9743073475457352,-0.21052803236792167,3.4,0.6372975961889099,true,lidar,false
18.6,1,-0.9816884246526073,-0.2140358085980355,3.4,0.6447358872554354,true,lidar,false
18.700000000000003,1,-0.9891920668779575,-0.21760183322890408,3.4,0.6383441997934893,true,lidar,false
18.8,1,-0.9966925525225206,-0.22116635831991796,3.4,0.6168603467410941,true,lidar,false
18.8,1,-0.9966925525225206,-0.22116635831991796,3.4,0.6168603467410941,true,lidar,false
19.0,1,-1.011727048148721,-0.22831134208096224,3.4,0.6215560516315215,true,lidar,false
19.0,1,-1.011727048148721,-0.22831134208096224,3.4,0.6215560516315215,true,lidar,false
19.1,1,-1.019050936680263,-0.23179194263892205,3.4,0.6045611856335095,true,lidar,false
19.200000000000003,1,-1.019050936680263,-0.23179194263892205,3.4,0.6045611856335095,true,lidar,false
19.3,1,-1.0340710872833538,-0.2389301113360423,3.4,0.6136029081583552,true,lidar,false
19.400000000000002,1,-1.0417255203471634,-0.24256780062729064,3.4,0.6020976540018131,true,lidar,false
19.400000000000002,1,-1.0417255203471634,-0.24256780062729064,3.4,0.6020976540018131,true,lidar,false
19.6,1,-1.0563546153228005,-0.24952012575185537,3.4,0.5995742128896682,true,lidar,false
19.6,1,-1.0563546153228005,-0.24952012575185537,3.4,0.5995742128896682,true,lidar,false
19.700000000000003,1,-1.0637919493231047,-0.25305464160682306,3.4,0.5971695441163096,true,lidar,false
19.8,1,-1.0637919493231047,-0.25305464160682306,3.4,0.5971695441163096,true,lidar,false
19.900000000000002,1,-1.0788311448943098,-0.26020186379747823,3.4,0.601852859310648,true,lidar,false
20.0,1,-1.0862647646264723,-0.26373461490446654,3.4,0.595073219865413,true,lidar,false
20.0,1,-1.0862647646264723,-0.26373461490446654,3.4,0.595073219865413,true,lidar,false
20.200000000000003,1,-1.0935704724669928,-0.26720657731004743,3.4,0.6029751550439366,true,lidar,false
20.400000000000002,1,-1.1160687154941027,-0.2778986361042218,3.4,0.6273394189409662,true,lidar,false
20.5,1,-1.12349573268006,-0.2814282498374322,3.4,0.6154443156918539,true,lidar,false
20.6,1,-1.13092140401545,-0.2849572240244578,3.4,0.6235063718631537,true,lidar,false
20.8,1,-1.1456003178420537,-0.2919332274962964,3.4,0.6163684231162839,true,lidar,false
20.8,1,-1.1456003178420537,-0.2919332274962964,3.4,0.6163684231162839,true,lidar,false
21.0,1,-1.1531473088007045,-0.29551985772134404,3.4,0.624591197704681,true,lidar,false
21.1,1,-1.167986946553873,-0.3025722438052952,3.4,0.6155569591399055,true,lidar,false
21.200000000000003,1,-1.1753631508135174,-0.3060777094859936,3.4,0.6236151215560932,true,lidar,false
21.400000000000002,1,-1.182822017763291,-0.30962245978741837,3.4,0.6317664263470617,true,lidar,false
21.5,1,-1.197692383067998,-0.31668944900579893,3.4,0.6186719694849014,true,lidar,false
