time_sec,trial_id,sound_command,repeat_index,sound_started,sound_done,sound_success
12.4,1,IDLE_NO_REQUEST,,False,False,False
12.4,1,sound_task_done,,True,False,False
12.600000000000001,1,IDLE_NO_REQUEST,,False,False,False
12.600000000000001,1,sound_task_done,,True,False,False
12.8,1,IDLE_NO_REQUEST,,False,False,False
12.8,1,sound_task_done,,True,False,False
13.0,1,IDLE_NO_REQUEST,,False,False,False
13.0,1,sound_task_done,,True,False,False
13.200000000000001,1,IDLE_NO_REQUEST,,False,False,False
13.200000000000001,1,sound_task_done,,True,False,False
13.4,1,IDLE_NO_REQUEST,,False,False,False
13.4,1,sound_task_done,,True,False,False
13.600000000000001,1,SIMULATED_DETERRENT_SOUND_TASK sound_type=GAZEBO_SIMULATED_SOUND_EVENT enable_sound_output=false legal_safety_note=stub_only,,True,False,False
13.600000000000001,1,sound_task_done,,True,False,False
13.8,1,SOUND_TASK_RUNNING enable_sound_output=False,,True,False,False
13.8,1,sound_task_done,,True,False,False
14.0,1,SOUND_TASK_RUNNING enable_sound_output=False,,True,False,False
14.0,1,sound_task_done,,True,False,False
14.100000000000001,1,sound_task_done,,True,False,False
14.100000000000001,1,SOUND_TASK_RUNNING enable_sound_output=False,,True,False,False
14.4,1,sound_task_done,,True,False,False
14.4,1,SOUND_TASK_RUNNING enable_sound_output=False,,True,False,False
14.600000000000001,1,sound_task_done,,True,False,False
14.600000000000001,1,SOUND_TASK_RUNNING enable_sound_output=False,,True,False,False
14.8,1,SOUND_TASK_RUNNING enable_sound_output=False,,True,False,False
14.8,1,sound_task_done,,True,False,False
15.000000000000002,1,SOUND_TASK_DONE sound_type=GAZEBO_SIMULATED_SOUND_EVENT,,True,True,True
15.000000000000002,1,sound_task_done,,True,False,True
15.000000000000002,1,sound_task_done,,True,True,True
15.200000000000001,1,sound_task_done,,True,True,True
15.200000000000001,1,COOLDOWN_BIRD_CONFIRMED,,False,False,True
15.4,1,IDLE_NO_REQUEST,,False,False,True
15.4,1,sound_task_done,,True,True,True
15.600000000000001,1,sound_task_done,,True,True,True
15.600000000000001,1,IDLE_NO_REQUEST,,False,False,True
15.8,1,IDLE_NO_REQUEST,,False,False,True
15.8,1,sound_task_done,,True,True,True
16.0,1,IDLE_NO_REQUEST,,False,False,True
16.0,1,sound_task_done,,True,False,True
16.2,1,sound_task_done,,True,False,True
